State / County / Place,Total Population,"White alone, Not Hispanic",White Alone Percent of Total,"Black or African American alone, Not Hispanic",Black Alone Percent of Total,"American Indian and Alaska Native alone, Not Hispanic",AIAN Percent of Total,"Asian alone, Not Hispanic",Asian Percent of Total,"Native Hawaiian and Other Pacific Islander alone, Not Hispanic",NHOPI Percent of Total,"Some other race alone, Not Hispanic",Other Percent of Total,"Two or more races, Not Hispanic",Two Plus Percent of Total,Hispanic/ Latino (2),PERCENT_HISP,PERCENT_WHITE,Summary level,State,County,Census Tract
Census Tract 9200.20,"7,009","3,865",55.10%,139,2.00%,13,0.20%,361,5.20%,8,0.10%,64,0.90%,394,5.60%,"2,165",0.31,0.55,140,6,37,920020
Census Tract 9200.28,"8,017","3,286",41.00%,425,5.30%,16,0.20%,"1,477",18.40%,18,0.20%,35,0.40%,395,4.90%,"2,365",0.3,0.41,140,6,37,920028
Census Tract 9200.29,"5,931","2,385",40.20%,249,4.20%,16,0.30%,438,7.40%,8,0.10%,39,0.70%,231,3.90%,"2,565",0.43,0.4,140,6,37,920029
Census Tract 9200.30,"5,399","2,168",40.20%,278,5.10%,10,0.20%,670,12.40%,6,0.10%,40,0.70%,227,4.20%,"2,000",0.37,0.4,140,6,37,920030
Census Tract 9200.31,"4,850","2,443",50.40%,243,5.00%,15,0.30%,759,15.60%,6,0.10%,16,0.30%,198,4.10%,"1,170",0.24,0.5,140,6,37,920031
Census Tract 9200.34,"4,152","1,638",39.50%,201,4.80%,10,0.20%,469,11.30%,4,0.10%,23,0.60%,201,4.80%,"1,606",0.39,0.39,140,6,37,920034
Census Tract 9200.35,"8,172","2,161",26.40%,297,3.60%,6,0.10%,689,8.40%,8,0.10%,45,0.60%,238,2.90%,"4,728",0.58,0.26,140,6,37,920035
Census Tract 9200.38,"2,629",586,22.30%,145,5.50%,8,0.30%,141,5.40%,0,0.00%,12,0.50%,67,2.50%,"1,670",0.64,0.22,140,6,37,920038
Census Tract 9200.39,"1,808",894,49.40%,42,2.30%,1,0.10%,165,9.10%,1,0.10%,12,0.70%,92,5.10%,601,0.33,0.49,140,6,37,920039
Census Tract 9200.40,"5,045","1,674",33.20%,479,9.50%,8,0.20%,468,9.30%,15,0.30%,30,0.60%,205,4.10%,"2,166",0.43,0.33,140,6,37,920040
Census Tract 9200.41,"1,473",574,39.00%,115,7.80%,5,0.30%,122,8.30%,1,0.10%,5,0.30%,68,4.60%,583,0.4,0.39,140,6,37,920041
Census Tract 9200.42,"7,762","2,663",34.30%,503,6.50%,31,0.40%,974,12.50%,15,0.20%,53,0.70%,359,4.60%,"3,164",0.41,0.34,140,6,37,920042
Census Tract 9200.43,"8,832","3,289",37.20%,550,6.20%,8,0.10%,"2,113",23.90%,7,0.10%,65,0.70%,478,5.40%,"2,322",0.26,0.37,140,6,37,920043
Census Tract 9200.44,"2,737","1,443",52.70%,60,2.20%,2,0.10%,268,9.80%,8,0.30%,9,0.30%,121,4.40%,826,0.3,0.53,140,6,37,920044
Census Tract 9200.45,"4,438","2,570",57.90%,80,1.80%,10,0.20%,426,9.60%,9,0.20%,28,0.60%,212,4.80%,"1,103",0.25,0.58,140,6,37,920045
Census Tract 9200.46,"2,914",893,30.60%,224,7.70%,3,0.10%,242,8.30%,6,0.20%,15,0.50%,109,3.70%,"1,422",0.49,0.31,140,6,37,920046
Census Tract 9200.47,"6,676","1,026",15.40%,560,8.40%,18,0.30%,468,7.00%,14,0.20%,51,0.80%,166,2.50%,"4,373",0.66,0.15,140,6,37,920047
Census Tract 9200.48,"6,307","1,608",25.50%,88,1.40%,22,0.30%,364,5.80%,7,0.10%,26,0.40%,124,2.00%,"4,068",0.65,0.26,140,6,37,920048
Census Tract 9200.49,"5,777","2,849",49.30%,228,3.90%,16,0.30%,755,13.10%,9,0.20%,29,0.50%,293,5.10%,"1,598",0.28,0.49,140,6,37,920049
Census Tract 9200.50,"1,328",949,71.50%,28,2.10%,7,0.50%,22,1.70%,2,0.20%,2,0.20%,67,5.00%,251,0.19,0.71,140,6,37,920050
Census Tract 9201.02,"5,115","2,324",45.40%,176,3.40%,9,0.20%,363,7.10%,9,0.20%,38,0.70%,256,5.00%,"1,940",0.38,0.45,140,6,37,920102
Census Tract 9201.04,"2,732","1,614",59.10%,56,2.00%,8,0.30%,150,5.50%,0,0.00%,8,0.30%,119,4.40%,777,0.28,0.59,140,6,37,920104
Census Tract 9201.06,"3,096",990,32.00%,78,2.50%,7,0.20%,67,2.20%,3,0.10%,19,0.60%,90,2.90%,"1,842",0.6,0.32,140,6,37,920106
Census Tract 9201.09,"5,766","3,219",55.80%,205,3.60%,13,0.20%,866,15.00%,13,0.20%,16,0.30%,307,5.30%,"1,127",0.2,0.56,140,6,37,920109
Census Tract 9201.10,"3,098","1,807",58.30%,82,2.60%,5,0.20%,434,14.00%,6,0.20%,16,0.50%,178,5.70%,570,0.18,0.58,140,6,37,920110
Census Tract 9201.11,"3,053","1,699",55.70%,54,1.80%,5,0.20%,322,10.50%,4,0.10%,17,0.60%,133,4.40%,819,0.27,0.56,140,6,37,920111
Census Tract 9201.12,"4,220","2,461",58.30%,81,1.90%,9,0.20%,472,11.20%,0,0.00%,20,0.50%,192,4.50%,985,0.23,0.58,140,6,37,920112
Census Tract 9201.14,"6,331","3,081",48.70%,301,4.80%,7,0.10%,"1,159",18.30%,9,0.10%,52,0.80%,345,5.40%,"1,377",0.22,0.49,140,6,37,920114
Census Tract 9201.15,"4,144","2,254",54.40%,91,2.20%,15,0.40%,732,17.70%,8,0.20%,27,0.70%,247,6.00%,770,0.19,0.54,140,6,37,920115
Census Tract 9201.16,"5,057","2,619",51.80%,124,2.50%,24,0.50%,444,8.80%,11,0.20%,30,0.60%,270,5.30%,"1,535",0.3,0.52,140,6,37,920116
Census Tract 9201.18,"5,931","2,831",47.70%,216,3.60%,12,0.20%,812,13.70%,5,0.10%,78,1.30%,314,5.30%,"1,663",0.28,0.48,140,6,37,920118
Census Tract 9201.19,"1,833",873,47.60%,41,2.20%,0,0.00%,290,15.80%,2,0.10%,10,0.50%,98,5.30%,519,0.28,0.48,140,6,37,920119
Census Tract 9201.20,"4,192","1,869",44.60%,181,4.30%,9,0.20%,"1,010",24.10%,3,0.10%,53,1.30%,223,5.30%,844,0.2,0.45,140,6,37,920120
Census Tract 9201.21,"10,332","4,045",39.20%,469,4.50%,11,0.10%,"3,166",30.60%,23,0.20%,90,0.90%,622,6.00%,"1,906",0.18,0.39,140,6,37,920121
Census Tract 9202,"5,584",590,10.60%,"1,205",21.60%,1,0.00%,73,1.30%,22,0.40%,11,0.20%,8,0.10%,"3,674",0.66,0.11,140,6,37,920200
Census Tract 9203.03,"1,593",804,50.50%,78,4.90%,5,0.30%,333,20.90%,1,0.10%,4,0.30%,72,4.50%,296,0.19,0.5,140,6,37,920303
Census Tract 9203.12,"5,933","3,056",51.50%,187,3.20%,12,0.20%,306,5.20%,10,0.20%,31,0.50%,227,3.80%,"2,104",0.36,0.52,140,6,37,920312
Census Tract 9203.13,"5,304","2,617",49.30%,80,1.50%,6,0.10%,410,7.70%,3,0.10%,20,0.40%,249,4.70%,"1,919",0.36,0.49,140,6,37,920313
Census Tract 9203.14,"3,142","1,647",52.40%,101,3.20%,11,0.40%,262,8.30%,3,0.10%,16,0.50%,154,4.90%,948,0.3,0.52,140,6,37,920314
Census Tract 9203.22,"2,998","1,697",56.60%,64,2.10%,2,0.10%,221,7.40%,0,0.00%,11,0.40%,163,5.40%,840,0.28,0.57,140,6,37,920322
Census Tract 9203.26,"7,212","3,163",43.90%,333,4.60%,17,0.20%,"1,632",22.60%,15,0.20%,57,0.80%,367,5.10%,"1,628",0.23,0.44,140,6,37,920326
Census Tract 9203.28,"1,987","1,105",55.60%,102,5.10%,2,0.10%,301,15.10%,2,0.10%,19,1.00%,117,5.90%,339,0.17,0.56,140,6,37,920328
Census Tract 9203.29,"6,723","3,965",59.00%,172,2.60%,18,0.30%,642,9.50%,7,0.10%,31,0.50%,333,5.00%,"1,555",0.23,0.59,140,6,37,920329
Census Tract 9203.30,"4,166","2,807",67.40%,91,2.20%,4,0.10%,377,9.00%,3,0.10%,15,0.40%,167,4.00%,702,0.17,0.67,140,6,37,920330
Census Tract 9203.31,"3,751","2,224",59.30%,57,1.50%,5,0.10%,379,10.10%,1,0.00%,25,0.70%,158,4.20%,902,0.24,0.59,140,6,37,920331
Census Tract 9203.32,"1,950","1,165",59.70%,37,1.90%,0,0.00%,98,5.00%,0,0.00%,20,1.00%,97,5.00%,533,0.27,0.6,140,6,37,920332
Census Tract 9203.34,"6,363","3,800",59.70%,158,2.50%,34,0.50%,710,11.20%,5,0.10%,37,0.60%,309,4.90%,"1,310",0.21,0.6,140,6,37,920334
Census Tract 9203.38,"5,642","2,786",49.40%,148,2.60%,13,0.20%,"1,436",25.50%,0,0.00%,46,0.80%,304,5.40%,909,0.16,0.49,140,6,37,920338
Census Tract 9203.39,"8,114","3,540",43.60%,338,4.20%,10,0.10%,"2,499",30.80%,11,0.10%,55,0.70%,423,5.20%,"1,238",0.15,0.44,140,6,37,920339
Census Tract 9203.40,"3,208",750,23.40%,31,1.00%,13,0.40%,185,5.80%,3,0.10%,0,0.00%,75,2.30%,"2,151",0.67,0.23,140,6,37,920340
Census Tract 9203.41,"3,287",342,10.40%,49,1.50%,7,0.20%,116,3.50%,3,0.10%,14,0.40%,40,1.20%,"2,716",0.83,0.1,140,6,37,920341
Census Tract 9203.42,"3,011",180,6.00%,67,2.20%,1,0.00%,136,4.50%,1,0.00%,8,0.30%,25,0.80%,"2,593",0.86,0.06,140,6,37,920342
Census Tract 9203.43,"4,297",655,15.20%,243,5.70%,12,0.30%,419,9.80%,0,0.00%,31,0.70%,134,3.10%,"2,803",0.65,0.15,140,6,37,920343
Census Tract 9304,"1,285",674,52.50%,92,7.20%,20,1.60%,37,2.90%,3,0.20%,2,0.20%,49,3.80%,408,0.32,0.52,140,6,37,930400
Census Tract 9800.01,28,11,39.30%,3,10.70%,1,3.60%,1,3.60%,0,0.00%,2,7.10%,9,32.10%,1,0.04,0.39,140,6,37,980001
Census Tract 9800.02,9,0,0.00%,1,11.10%,2,22.20%,0,0.00%,1,11.10%,0,0.00%,0,0.00%,5,0.56,0,140,6,37,980002
Census Tract 9800.03,0,0,,0,,0,,0,,0,,0,,0,,0,,#DIV/0!,140,6,37,980003
Census Tract 9800.04,0,0,,0,,0,,0,,0,,0,,0,,0,,#DIV/0!,140,6,37,980004
Census Tract 9800.05,3,0,0.00%,0,0.00%,0,0.00%,1,33.30%,0,0.00%,0,0.00%,1,33.30%,1,0.33,0,140,6,37,980005
Census Tract 9800.06,2,0,0.00%,1,50.00%,0,0.00%,0,0.00%,0,0.00%,1,50.00%,0,0.00%,0,0,0,140,6,37,980006
Census Tract 9800.07,5,0,0.00%,1,20.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,20.00%,3,0.6,0,140,6,37,980007
Census Tract 9800.08,465,162,34.80%,92,19.80%,0,0.00%,5,1.10%,0,0.00%,5,1.10%,6,1.30%,195,0.42,0.35,140,6,37,980008
Census Tract 9800.09,52,17,32.70%,7,13.50%,0,0.00%,4,7.70%,0,0.00%,0,0.00%,5,9.60%,19,0.37,0.33,140,6,37,980009
Census Tract 9800.10,144,41,28.50%,6,4.20%,1,0.70%,51,35.40%,1,0.70%,3,2.10%,8,5.60%,33,0.23,0.28,140,6,37,980010
Census Tract 9800.11,140,34,24.30%,29,20.70%,2,1.40%,14,10.00%,0,0.00%,1,0.70%,6,4.30%,54,0.39,0.24,140,6,37,980011
Census Tract 9800.12,0,0,,0,,0,,0,,0,,0,,0,,0,,#DIV/0!,140,6,37,980012
Census Tract 9800.13,62,18,29.00%,17,27.40%,0,0.00%,9,14.50%,0,0.00%,0,0.00%,3,4.80%,15,0.24,0.29,140,6,37,980013
Census Tract 9800.14,150,88,58.70%,5,3.30%,1,0.70%,7,4.70%,0,0.00%,0,0.00%,10,6.70%,39,0.26,0.59,140,6,37,980014
Census Tract 9800.15,"1,267",221,17.40%,374,29.50%,7,0.60%,169,13.30%,17,1.30%,0,0.00%,76,6.00%,403,0.32,0.17,140,6,37,980015
Census Tract 9800.16,222,14,6.30%,18,8.10%,0,0.00%,14,6.30%,0,0.00%,7,3.20%,1,0.50%,168,0.76,0.06,140,6,37,980016
Census Tract 9800.17,"1,192",525,44.00%,305,25.60%,4,0.30%,24,2.00%,3,0.30%,3,0.30%,51,4.30%,277,0.23,0.44,140,6,37,980017
Census Tract 9800.18,30,5,16.70%,11,36.70%,1,3.30%,0,0.00%,0,0.00%,0,0.00%,2,6.70%,11,0.37,0.17,140,6,37,980018
Census Tract 9800.19,128,80,62.50%,5,3.90%,0,0.00%,5,3.90%,0,0.00%,0,0.00%,12,9.40%,26,0.2,0.63,140,6,37,980019
Census Tract 9800.20,2,1,50.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,50.00%,0,0.00%,0,0,0.5,140,6,37,980020
Census Tract 9800.21,56,14,25.00%,3,5.40%,0,0.00%,10,17.90%,0,0.00%,0,0.00%,9,16.10%,20,0.36,0.25,140,6,37,980021
Census Tract 9800.22,0,0,,0,,0,,0,,0,,0,,0,,0,,#DIV/0!,140,6,37,980022
Census Tract 9800.23,19,8,42.10%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,4,21.10%,7,0.37,0.42,140,6,37,980023
Census Tract 9800.24,226,145,64.20%,22,9.70%,0,0.00%,23,10.20%,0,0.00%,2,0.90%,6,2.70%,28,0.12,0.64,140,6,37,980024
Census Tract 9800.25,518,34,6.60%,239,46.10%,1,0.20%,77,14.90%,5,1.00%,4,0.80%,24,4.60%,134,0.26,0.07,140,6,37,980025
Census Tract 9800.26,11,8,72.70%,1,9.10%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,9.10%,1,0.09,0.73,140,6,37,980026
Census Tract 9800.28,11,2,18.20%,1,9.10%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,6,54.50%,2,0.18,0.18,140,6,37,980028
Census Tract 9800.30,0,0,,0,,0,,0,,0,,0,,0,,0,,#DIV/0!,140,6,37,980030
Census Tract 9800.31,"1,748",649,37.10%,256,14.60%,32,1.80%,92,5.30%,0,0.00%,0,0.00%,10,0.60%,709,0.41,0.37,140,6,37,980031
Census Tract 9800.33,89,36,40.40%,21,23.60%,0,0.00%,9,10.10%,0,0.00%,0,0.00%,6,6.70%,17,0.19,0.4,140,6,37,980033
Census Tract 9800.34,110,28,25.50%,16,14.50%,0,0.00%,7,6.40%,3,2.70%,3,2.70%,6,5.50%,47,0.43,0.25,140,6,37,980034
Census Tract 9800.35,623,64,10.30%,5,0.80%,0,0.00%,45,7.20%,0,0.00%,4,0.60%,5,0.80%,500,0.8,0.1,140,6,37,980035
Census Tract 9800.36,616,35,5.70%,12,1.90%,0,0.00%,242,39.30%,0,0.00%,10,1.60%,15,2.40%,302,0.49,0.06,140,6,37,980036
Census Tract 9800.37,0,0,,0,,0,,0,,0,,0,,0,,0,,#DIV/0!,140,6,37,980037
Census Tract 9800.38,4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,50.00%,2,0.5,0,140,6,37,980038
Census Tract 9800.39,0,0,,0,,0,,0,,0,,0,,0,,0,,#DIV/0!,140,6,37,980039
Census Tract 9901,0,0,,0,,0,,0,,0,,0,,0,,0,,#DIV/0!,140,6,37,990100
Census Tract 9902,0,0,,0,,0,,0,,0,,0,,0,,0,,#DIV/0!,140,6,37,990200
Census Tract 9903,0,0,,0,,0,,0,,0,,0,,0,,0,,#DIV/0!,140,6,37,990300
,,,,,,,,,,,,,,,,,,#DIV/0!,,,,
Madera County,"156,255","48,399",31.00%,"4,131",2.60%,"1,738",1.10%,"3,581",2.30%,122,0.10%,723,0.50%,"4,383",2.80%,"93,178",0.6,0.31,50,6,39,
Census Tract 1.02,"4,081","2,891",70.80%,16,0.40%,344,8.40%,37,0.90%,7,0.20%,16,0.40%,295,7.20%,475,0.12,0.71,140,6,39,102
Census Tract 1.03,"4,650","3,672",79.00%,10,0.20%,82,1.80%,65,1.40%,0,0.00%,26,0.60%,306,6.60%,489,0.11,0.79,140,6,39,103
Census Tract 1.04,"4,335","3,210",74.00%,9,0.20%,83,1.90%,78,1.80%,3,0.10%,22,0.50%,218,5.00%,712,0.16,0.74,140,6,39,104
Census Tract 1.06,"5,064","3,717",73.40%,34,0.70%,59,1.20%,110,2.20%,6,0.10%,33,0.70%,340,6.70%,765,0.15,0.73,140,6,39,106
Census Tract 1.09,"2,273","1,618",71.20%,26,1.10%,56,2.50%,32,1.40%,1,0.00%,25,1.10%,158,7.00%,357,0.16,0.71,140,6,39,109
Census Tract 1.10,"4,527","3,260",72.00%,7,0.20%,233,5.10%,72,1.60%,0,0.00%,40,0.90%,274,6.10%,641,0.14,0.72,140,6,39,110
Census Tract 1.11,"2,231","1,712",76.70%,26,1.20%,72,3.20%,50,2.20%,0,0.00%,8,0.40%,102,4.60%,261,0.12,0.77,140,6,39,111
Census Tract 2.01,"7,359","2,142",29.10%,"1,508",20.50%,123,1.70%,92,1.30%,16,0.20%,47,0.60%,162,2.20%,"3,269",0.44,0.29,140,6,39,201
Census Tract 2.03,"1,552",527,34.00%,4,0.30%,4,0.30%,20,1.30%,1,0.10%,4,0.30%,58,3.70%,934,0.6,0.34,140,6,39,203
Census Tract 2.04,"5,549","2,281",41.10%,199,3.60%,31,0.60%,350,6.30%,17,0.30%,30,0.50%,219,3.90%,"2,422",0.44,0.41,140,6,39,204
Census Tract 3.01,"3,534","1,109",31.40%,48,1.40%,24,0.70%,14,0.40%,8,0.20%,10,0.30%,116,3.30%,"2,205",0.62,0.31,140,6,39,301
Census Tract 3.02,"5,383","2,096",38.90%,162,3.00%,23,0.40%,73,1.40%,0,0.00%,13,0.20%,209,3.90%,"2,807",0.52,0.39,140,6,39,302
Census Tract 5.06,"6,357","1,208",19.00%,102,1.60%,39,0.60%,89,1.40%,0,0.00%,24,0.40%,111,1.70%,"4,784",0.75,0.19,140,6,39,506
Census Tract 5.09,"6,290","3,581",56.90%,67,1.10%,44,0.70%,197,3.10%,5,0.10%,26,0.40%,311,4.90%,"2,059",0.33,0.57,140,6,39,509
Census Tract 5.10,"5,376",545,10.10%,175,3.30%,26,0.50%,141,2.60%,3,0.10%,39,0.70%,90,1.70%,"4,357",0.81,0.1,140,6,39,510
Census Tract 5.11,"6,083",509,8.40%,157,2.60%,57,0.90%,96,1.60%,4,0.10%,46,0.80%,92,1.50%,"5,122",0.84,0.08,140,6,39,511
Census Tract 5.12,"5,349","1,291",24.10%,123,2.30%,20,0.40%,165,3.10%,2,0.00%,36,0.70%,103,1.90%,"3,609",0.68,0.24,140,6,39,512
Census Tract 5.13,"4,543",826,18.20%,130,2.90%,21,0.50%,423,9.30%,3,0.10%,30,0.70%,86,1.90%,"3,024",0.67,0.18,140,6,39,513
Census Tract 5.14,"6,847","1,024",15.00%,158,2.30%,30,0.40%,104,1.50%,0,0.00%,25,0.40%,110,1.60%,"5,396",0.79,0.15,140,6,39,514
Census Tract 5.15,"3,932",807,20.50%,84,2.10%,35,0.90%,38,1.00%,0,0.00%,12,0.30%,66,1.70%,"2,890",0.74,0.21,140,6,39,515
Census Tract 5.16,"2,426","1,380",56.90%,20,0.80%,19,0.80%,75,3.10%,3,0.10%,9,0.40%,93,3.80%,827,0.34,0.57,140,6,39,516
Census Tract 5.17,"2,019",540,26.70%,33,1.60%,29,1.40%,65,3.20%,1,0.00%,19,0.90%,36,1.80%,"1,296",0.64,0.27,140,6,39,517
Census Tract 5.18,"3,234",197,6.10%,47,1.50%,29,0.90%,11,0.30%,3,0.10%,7,0.20%,28,0.90%,"2,912",0.9,0.06,140,6,39,518
Census Tract 6.02,"4,736",342,7.20%,45,1.00%,23,0.50%,11,0.20%,0,0.00%,11,0.20%,34,0.70%,"4,270",0.9,0.07,140,6,39,602
Census Tract 6.03,"5,716",282,4.90%,107,1.90%,38,0.70%,29,0.50%,4,0.10%,10,0.20%,36,0.60%,"5,210",0.91,0.05,140,6,39,603
Census Tract 6.04,"5,252",256,4.90%,92,1.80%,12,0.20%,19,0.40%,2,0.00%,1,0.00%,44,0.80%,"4,826",0.92,0.05,140,6,39,604
Census Tract 7.01,"5,379","1,462",27.20%,138,2.60%,16,0.30%,210,3.90%,3,0.10%,49,0.90%,157,2.90%,"3,344",0.62,0.27,140,6,39,701
Census Tract 7.02,"6,194","1,931",31.20%,89,1.40%,50,0.80%,180,2.90%,7,0.10%,21,0.30%,138,2.20%,"3,778",0.61,0.31,140,6,39,702
Census Tract 8.01,"2,491",291,11.70%,50,2.00%,17,0.70%,37,1.50%,2,0.10%,7,0.30%,16,0.60%,"2,071",0.83,0.12,140,6,39,801
Census Tract 8.02,"4,065",362,8.90%,101,2.50%,37,0.90%,25,0.60%,3,0.10%,6,0.10%,37,0.90%,"3,494",0.86,0.09,140,6,39,802
Census Tract 9.01,"3,065",121,3.90%,68,2.20%,11,0.40%,5,0.20%,0,0.00%,9,0.30%,25,0.80%,"2,826",0.92,0.04,140,6,39,901
Census Tract 9.02,"4,541",229,5.00%,111,2.40%,5,0.10%,337,7.40%,5,0.10%,9,0.20%,47,1.00%,"3,798",0.84,0.05,140,6,39,902
Census Tract 9.03,"3,943",92,2.30%,91,2.30%,18,0.50%,13,0.30%,2,0.10%,14,0.40%,18,0.50%,"3,695",0.94,0.02,140,6,39,903
Census Tract 11,"7,879","2,888",36.70%,94,1.20%,28,0.40%,318,4.00%,11,0.10%,39,0.50%,248,3.10%,"4,253",0.54,0.37,140,6,39,1100
,,,,,,,,,,,,,,,,,,#DIV/0!,,,,
Marin County,"262,321","173,149",66.00%,"6,120",2.30%,555,0.20%,"16,175",6.20%,457,0.20%,"2,040",0.80%,"14,415",5.50%,"49,410",0.19,0.66,50,6,41,
Census Tract 1011,"2,682","2,058",76.70%,34,1.30%,6,0.20%,168,6.30%,4,0.10%,9,0.30%,151,5.60%,252,0.09,0.77,140,6,41,101100
Census Tract 1012,"2,924","1,815",62.10%,42,1.40%,4,0.10%,183,6.30%,9,0.30%,20,0.70%,145,5.00%,706,0.24,0.62,140,6,41,101200
Census Tract 1021,"2,251","1,667",74.10%,39,1.70%,6,0.30%,162,7.20%,2,0.10%,12,0.50%,133,5.90%,230,0.1,0.74,140,6,41,102100
Census Tract 1022.02,"6,003","3,697",61.60%,140,2.30%,14,0.20%,412,6.90%,3,0.00%,25,0.40%,378,6.30%,"1,334",0.22,0.62,140,6,41,102202
Census Tract 1022.03,"5,174","2,447",47.30%,133,2.60%,12,0.20%,315,6.10%,12,0.20%,52,1.00%,266,5.10%,"1,937",0.37,0.47,140,6,41,102203
Census Tract 1031,"7,376","5,504",74.60%,74,1.00%,11,0.10%,354,4.80%,7,0.10%,48,0.70%,343,4.70%,"1,035",0.14,0.75,140,6,41,103100
Census Tract 1032,"6,720","3,812",56.70%,202,3.00%,8,0.10%,429,6.40%,10,0.10%,40,0.60%,385,5.70%,"1,834",0.27,0.57,140,6,41,103200
Census Tract 1041.02,"5,321","2,147",40.30%,159,3.00%,9,0.20%,618,11.60%,22,0.40%,64,1.20%,311,5.80%,"1,991",0.37,0.4,140,6,41,104102
Census Tract 1041.03,"3,137","2,102",67.00%,57,1.80%,6,0.20%,195,6.20%,4,0.10%,21,0.70%,175,5.60%,577,0.18,0.67,140,6,41,104103
Census Tract 1041.04,"4,617","2,803",60.70%,95,2.10%,13,0.30%,365,7.90%,29,0.60%,46,1.00%,196,4.20%,"1,070",0.23,0.61,140,6,41,104104
Census Tract 1042,"5,733","3,608",62.90%,134,2.30%,12,0.20%,301,5.30%,3,0.10%,30,0.50%,286,5.00%,"1,359",0.24,0.63,140,6,41,104200
Census Tract 1043,"1,564","1,248",79.80%,2,0.10%,4,0.30%,97,6.20%,0,0.00%,10,0.60%,90,5.80%,113,0.07,0.8,140,6,41,104300
Census Tract 1050.01,"3,650","1,221",33.50%,238,6.50%,3,0.10%,246,6.70%,3,0.10%,40,1.10%,176,4.80%,"1,723",0.47,0.33,140,6,41,105001
Census Tract 1050.02,"3,162","2,079",65.70%,62,2.00%,1,0.00%,404,12.80%,2,0.10%,23,0.70%,199,6.30%,392,0.12,0.66,140,6,41,105002
Census Tract 1060.01,"5,004","2,559",51.10%,166,3.30%,11,0.20%,478,9.60%,15,0.30%,43,0.90%,308,6.20%,"1,424",0.29,0.51,140,6,41,106001
Census Tract 1060.02,"5,666","3,390",59.80%,127,2.20%,10,0.20%,435,7.70%,7,0.10%,47,0.80%,250,4.40%,"1,400",0.25,0.6,140,6,41,106002
Census Tract 1070,"6,306","4,678",74.20%,67,1.10%,7,0.10%,481,7.60%,15,0.20%,38,0.60%,423,6.70%,597,0.1,0.74,140,6,41,107000
Census Tract 1081,"6,692","4,992",74.60%,57,0.90%,10,0.10%,473,7.10%,6,0.10%,40,0.60%,472,7.10%,642,0.1,0.75,140,6,41,108100
Census Tract 1082.01,"2,556","1,366",53.40%,66,2.60%,7,0.30%,194,7.60%,2,0.10%,24,0.90%,132,5.20%,765,0.3,0.53,140,6,41,108201
Census Tract 1082.02,"4,343","2,641",60.80%,75,1.70%,4,0.10%,538,12.40%,30,0.70%,52,1.20%,244,5.60%,759,0.18,0.61,140,6,41,108202
Census Tract 1090.01,"4,467","2,199",49.20%,68,1.50%,12,0.30%,266,6.00%,29,0.60%,37,0.80%,208,4.70%,"1,648",0.37,0.49,140,6,41,109001
Census Tract 1090.02,"4,178","3,141",75.20%,46,1.10%,7,0.20%,199,4.80%,8,0.20%,18,0.40%,283,6.80%,476,0.11,0.75,140,6,41,109002
Census Tract 1101,"6,176","3,909",63.30%,113,1.80%,7,0.10%,463,7.50%,10,0.20%,80,1.30%,309,5.00%,"1,285",0.21,0.63,140,6,41,110100
Census Tract 1102,"5,389","4,465",82.90%,33,0.60%,3,0.10%,278,5.20%,10,0.20%,44,0.80%,245,4.50%,311,0.06,0.83,140,6,41,110200
Census Tract 1110.01,"1,209",604,50.00%,61,5.00%,11,0.90%,134,11.10%,4,0.30%,22,1.80%,72,6.00%,301,0.25,0.5,140,6,41,111001
Census Tract 1110.02,"4,967","2,788",56.10%,85,1.70%,6,0.10%,213,4.30%,21,0.40%,67,1.30%,290,5.80%,"1,497",0.3,0.56,140,6,41,111002
Census Tract 1121,"4,611","2,613",56.70%,63,1.40%,20,0.40%,203,4.40%,7,0.20%,48,1.00%,190,4.10%,"1,467",0.32,0.57,140,6,41,112100
Census Tract 1122.02,"4,445",814,18.30%,77,1.70%,20,0.40%,470,10.60%,2,0.00%,14,0.30%,86,1.90%,"2,962",0.67,0.18,140,6,41,112202
Census Tract 1122.03,"2,981",60,2.00%,27,0.90%,26,0.90%,41,1.40%,2,0.10%,12,0.40%,20,0.70%,"2,793",0.94,0.02,140,6,41,112203
Census Tract 1122.04,"5,043",307,6.10%,37,0.70%,15,0.30%,65,1.30%,2,0.00%,14,0.30%,25,0.50%,"4,578",0.91,0.06,140,6,41,112204
Census Tract 1130,"3,910","3,157",80.70%,32,0.80%,16,0.40%,72,1.80%,5,0.10%,34,0.90%,270,6.90%,324,0.08,0.81,140,6,41,113000
Census Tract 1141,"5,245","4,111",78.40%,65,1.20%,12,0.20%,129,2.50%,6,0.10%,41,0.80%,349,6.70%,532,0.1,0.78,140,6,41,114100
Census Tract 1142,"3,164","2,325",73.50%,33,1.00%,4,0.10%,138,4.40%,12,0.40%,25,0.80%,192,6.10%,435,0.14,0.73,140,6,41,114200
Census Tract 1150,"7,489","6,104",81.50%,34,0.50%,10,0.10%,215,2.90%,7,0.10%,45,0.60%,462,6.20%,612,0.08,0.82,140,6,41,115000
