State / County / Place,Total Population,"White alone, Not Hispanic",White Alone Percent of Total,"Black or African American alone, Not Hispanic",Black Alone Percent of Total,"American Indian and Alaska Native alone, Not Hispanic",AIAN Percent of Total,"Asian alone, Not Hispanic",Asian Percent of Total,"Native Hawaiian and Other Pacific Islander alone, Not Hispanic",NHOPI Percent of Total,"Some other race alone, Not Hispanic",Other Percent of Total,"Two or more races, Not Hispanic",Two Plus Percent of Total,Hispanic/ Latino (2),Hispanic Percent of Total,Summary level,State,County,Census Tract,,,,
Census Tract 9111,"7,827",909,11.6%,507,6.5%,18,0.2%,79,1.0%,1,0.0%,55,0.7%,169,2.2%,"6,089",77.8%,140,06,037,911100,,,,
Census Tract 9200.13,"7,801","3,722",47.7%,435,5.6%,20,0.3%,"1,288",16.5%,4,0.1%,36,0.5%,468,6.0%,"1,828",23.4%,140,06,037,920013,,,,
Census Tract 9200.15,"6,724","3,977",59.1%,180,2.7%,7,0.1%,641,9.5%,6,0.1%,29,0.4%,413,6.1%,"1,471",21.9%,140,06,037,920015,,,,
Census Tract 9200.16,"4,423","2,452",55.4%,211,4.8%,5,0.1%,437,9.9%,5,0.1%,44,1.0%,205,4.6%,"1,064",24.1%,140,06,037,920016,,,,
Census Tract 9200.17,"4,241","2,194",51.7%,63,1.5%,3,0.1%,245,5.8%,3,0.1%,41,1.0%,212,5.0%,"1,480",34.9%,140,06,037,920017,,,,
Census Tract 9200.18,"2,184","1,419",65.0%,34,1.6%,5,0.2%,111,5.1%,3,0.1%,3,0.1%,83,3.8%,526,24.1%,140,06,037,920018,,,,
Census Tract 9200.20,"7,009","3,865",55.1%,139,2.0%,13,0.2%,361,5.2%,8,0.1%,64,0.9%,394,5.6%,"2,165",30.9%,140,06,037,920020,,,,
Census Tract 9200.28,"8,017","3,286",41.0%,425,5.3%,16,0.2%,"1,477",18.4%,18,0.2%,35,0.4%,395,4.9%,"2,365",29.5%,140,06,037,920028,,,,
Census Tract 9200.29,"5,931","2,385",40.2%,249,4.2%,16,0.3%,438,7.4%,8,0.1%,39,0.7%,231,3.9%,"2,565",43.2%,140,06,037,920029,,,,
Census Tract 9200.30,"5,399","2,168",40.2%,278,5.1%,10,0.2%,670,12.4%,6,0.1%,40,0.7%,227,4.2%,"2,000",37.0%,140,06,037,920030,,,,
Census Tract 9200.31,"4,850","2,443",50.4%,243,5.0%,15,0.3%,759,15.6%,6,0.1%,16,0.3%,198,4.1%,"1,170",24.1%,140,06,037,920031,,,,
Census Tract 9200.34,"4,152","1,638",39.5%,201,4.8%,10,0.2%,469,11.3%,4,0.1%,23,0.6%,201,4.8%,"1,606",38.7%,140,06,037,920034,,,,
Census Tract 9200.35,"8,172","2,161",26.4%,297,3.6%,6,0.1%,689,8.4%,8,0.1%,45,0.6%,238,2.9%,"4,728",57.9%,140,06,037,920035,,,,
Census Tract 9200.38,"2,629",586,22.3%,145,5.5%,8,0.3%,141,5.4%,0,0.0%,12,0.5%,67,2.5%,"1,670",63.5%,140,06,037,920038,,,,
Census Tract 9200.39,"1,808",894,49.4%,42,2.3%,1,0.1%,165,9.1%,1,0.1%,12,0.7%,92,5.1%,601,33.2%,140,06,037,920039,,,,
Census Tract 9200.40,"5,045","1,674",33.2%,479,9.5%,8,0.2%,468,9.3%,15,0.3%,30,0.6%,205,4.1%,"2,166",42.9%,140,06,037,920040,,,,
Census Tract 9200.41,"1,473",574,39.0%,115,7.8%,5,0.3%,122,8.3%,1,0.1%,5,0.3%,68,4.6%,583,39.6%,140,06,037,920041,,,,
Census Tract 9200.42,"7,762","2,663",34.3%,503,6.5%,31,0.4%,974,12.5%,15,0.2%,53,0.7%,359,4.6%,"3,164",40.8%,140,06,037,920042,,,,
Census Tract 9200.43,"8,832","3,289",37.2%,550,6.2%,8,0.1%,"2,113",23.9%,7,0.1%,65,0.7%,478,5.4%,"2,322",26.3%,140,06,037,920043,,,,
Census Tract 9200.44,"2,737","1,443",52.7%,60,2.2%,2,0.1%,268,9.8%,8,0.3%,9,0.3%,121,4.4%,826,30.2%,140,06,037,920044,,,,
Census Tract 9200.45,"4,438","2,570",57.9%,80,1.8%,10,0.2%,426,9.6%,9,0.2%,28,0.6%,212,4.8%,"1,103",24.9%,140,06,037,920045,,,,
Census Tract 9200.46,"2,914",893,30.6%,224,7.7%,3,0.1%,242,8.3%,6,0.2%,15,0.5%,109,3.7%,"1,422",48.8%,140,06,037,920046,,,,
Census Tract 9200.47,"6,676","1,026",15.4%,560,8.4%,18,0.3%,468,7.0%,14,0.2%,51,0.8%,166,2.5%,"4,373",65.5%,140,06,037,920047,,,,
Census Tract 9200.48,"6,307","1,608",25.5%,88,1.4%,22,0.3%,364,5.8%,7,0.1%,26,0.4%,124,2.0%,"4,068",64.5%,140,06,037,920048,,,,
Census Tract 9200.49,"5,777","2,849",49.3%,228,3.9%,16,0.3%,755,13.1%,9,0.2%,29,0.5%,293,5.1%,"1,598",27.7%,140,06,037,920049,,,,
Census Tract 9200.50,"1,328",949,71.5%,28,2.1%,7,0.5%,22,1.7%,2,0.2%,2,0.2%,67,5.0%,251,18.9%,140,06,037,920050,,,,
Census Tract 9201.02,"5,115","2,324",45.4%,176,3.4%,9,0.2%,363,7.1%,9,0.2%,38,0.7%,256,5.0%,"1,940",37.9%,140,06,037,920102,,,,
Census Tract 9201.04,"2,732","1,614",59.1%,56,2.0%,8,0.3%,150,5.5%,0,0.0%,8,0.3%,119,4.4%,777,28.4%,140,06,037,920104,,,,
Census Tract 9201.06,"3,096",990,32.0%,78,2.5%,7,0.2%,67,2.2%,3,0.1%,19,0.6%,90,2.9%,"1,842",59.5%,140,06,037,920106,,,,
Census Tract 9201.09,"5,766","3,219",55.8%,205,3.6%,13,0.2%,866,15.0%,13,0.2%,16,0.3%,307,5.3%,"1,127",19.5%,140,06,037,920109,,,,
Census Tract 9201.10,"3,098","1,807",58.3%,82,2.6%,5,0.2%,434,14.0%,6,0.2%,16,0.5%,178,5.7%,570,18.4%,140,06,037,920110,,,,
Census Tract 9201.11,"3,053","1,699",55.7%,54,1.8%,5,0.2%,322,10.5%,4,0.1%,17,0.6%,133,4.4%,819,26.8%,140,06,037,920111,,,,
Census Tract 9201.12,"4,220","2,461",58.3%,81,1.9%,9,0.2%,472,11.2%,0,0.0%,20,0.5%,192,4.5%,985,23.3%,140,06,037,920112,,,,
Census Tract 9201.14,"6,331","3,081",48.7%,301,4.8%,7,0.1%,"1,159",18.3%,9,0.1%,52,0.8%,345,5.4%,"1,377",21.8%,140,06,037,920114,,,,
Census Tract 9201.15,"4,144","2,254",54.4%,91,2.2%,15,0.4%,732,17.7%,8,0.2%,27,0.7%,247,6.0%,770,18.6%,140,06,037,920115,,,,
Census Tract 9201.16,"5,057","2,619",51.8%,124,2.5%,24,0.5%,444,8.8%,11,0.2%,30,0.6%,270,5.3%,"1,535",30.4%,140,06,037,920116,,,,
Census Tract 9201.18,"5,931","2,831",47.7%,216,3.6%,12,0.2%,812,13.7%,5,0.1%,78,1.3%,314,5.3%,"1,663",28.0%,140,06,037,920118,,,,
Census Tract 9201.19,"1,833",873,47.6%,41,2.2%,0,0.0%,290,15.8%,2,0.1%,10,0.5%,98,5.3%,519,28.3%,140,06,037,920119,,,,
Census Tract 9201.20,"4,192","1,869",44.6%,181,4.3%,9,0.2%,"1,010",24.1%,3,0.1%,53,1.3%,223,5.3%,844,20.1%,140,06,037,920120,,,,
Census Tract 9201.21,"10,332","4,045",39.2%,469,4.5%,11,0.1%,"3,166",30.6%,23,0.2%,90,0.9%,622,6.0%,"1,906",18.4%,140,06,037,920121,,,,
Census Tract 9202,"5,584",590,10.6%,"1,205",21.6%,1,0.0%,73,1.3%,22,0.4%,11,0.2%,8,0.1%,"3,674",65.8%,140,06,037,920200,,,,
Census Tract 9203.03,"1,593",804,50.5%,78,4.9%,5,0.3%,333,20.9%,1,0.1%,4,0.3%,72,4.5%,296,18.6%,140,06,037,920303,,,,
Census Tract 9203.12,"5,933","3,056",51.5%,187,3.2%,12,0.2%,306,5.2%,10,0.2%,31,0.5%,227,3.8%,"2,104",35.5%,140,06,037,920312,,,,
Census Tract 9203.13,"5,304","2,617",49.3%,80,1.5%,6,0.1%,410,7.7%,3,0.1%,20,0.4%,249,4.7%,"1,919",36.2%,140,06,037,920313,,,,
Census Tract 9203.14,"3,142","1,647",52.4%,101,3.2%,11,0.4%,262,8.3%,3,0.1%,16,0.5%,154,4.9%,948,30.2%,140,06,037,920314,,,,
Census Tract 9203.22,"2,998","1,697",56.6%,64,2.1%,2,0.1%,221,7.4%,0,0.0%,11,0.4%,163,5.4%,840,28.0%,140,06,037,920322,,,,
Census Tract 9203.26,"7,212","3,163",43.9%,333,4.6%,17,0.2%,"1,632",22.6%,15,0.2%,57,0.8%,367,5.1%,"1,628",22.6%,140,06,037,920326,,,,
Census Tract 9203.28,"1,987","1,105",55.6%,102,5.1%,2,0.1%,301,15.1%,2,0.1%,19,1.0%,117,5.9%,339,17.1%,140,06,037,920328,,,,
Census Tract 9203.29,"6,723","3,965",59.0%,172,2.6%,18,0.3%,642,9.5%,7,0.1%,31,0.5%,333,5.0%,"1,555",23.1%,140,06,037,920329,,,,
Census Tract 9203.30,"4,166","2,807",67.4%,91,2.2%,4,0.1%,377,9.0%,3,0.1%,15,0.4%,167,4.0%,702,16.9%,140,06,037,920330,,,,
Census Tract 9203.31,"3,751","2,224",59.3%,57,1.5%,5,0.1%,379,10.1%,1,0.0%,25,0.7%,158,4.2%,902,24.0%,140,06,037,920331,,,,
Census Tract 9203.32,"1,950","1,165",59.7%,37,1.9%,0,0.0%,98,5.0%,0,0.0%,20,1.0%,97,5.0%,533,27.3%,140,06,037,920332,,,,
Census Tract 9203.34,"6,363","3,800",59.7%,158,2.5%,34,0.5%,710,11.2%,5,0.1%,37,0.6%,309,4.9%,"1,310",20.6%,140,06,037,920334,,,,
Census Tract 9203.38,"5,642","2,786",49.4%,148,2.6%,13,0.2%,"1,436",25.5%,0,0.0%,46,0.8%,304,5.4%,909,16.1%,140,06,037,920338,,,,
Census Tract 9203.39,"8,114","3,540",43.6%,338,4.2%,10,0.1%,"2,499",30.8%,11,0.1%,55,0.7%,423,5.2%,"1,238",15.3%,140,06,037,920339,,,,
Census Tract 9203.40,"3,208",750,23.4%,31,1.0%,13,0.4%,185,5.8%,3,0.1%,0,0.0%,75,2.3%,"2,151",67.1%,140,06,037,920340,,,,
Census Tract 9203.41,"3,287",342,10.4%,49,1.5%,7,0.2%,116,3.5%,3,0.1%,14,0.4%,40,1.2%,"2,716",82.6%,140,06,037,920341,,,,
Census Tract 9203.42,"3,011",180,6.0%,67,2.2%,1,0.0%,136,4.5%,1,0.0%,8,0.3%,25,0.8%,"2,593",86.1%,140,06,037,920342,,,,
Census Tract 9203.43,"4,297",655,15.2%,243,5.7%,12,0.3%,419,9.8%,0,0.0%,31,0.7%,134,3.1%,"2,803",65.2%,140,06,037,920343,,,,
Census Tract 9304,"1,285",674,52.5%,92,7.2%,20,1.6%,37,2.9%,3,0.2%,2,0.2%,49,3.8%,408,31.8%,140,06,037,930400,,,,
Census Tract 9800.01,28,11,39.3%,3,10.7%,1,3.6%,1,3.6%,0,0.0%,2,7.1%,9,32.1%,1,3.6%,140,06,037,980001,,,,
Census Tract 9800.02,9,0,0.0%,1,11.1%,2,22.2%,0,0.0%,1,11.1%,0,0.0%,0,0.0%,5,55.6%,140,06,037,980002,,,,
Census Tract 9800.03,0,0,,0,,0,,0,,0,,0,,0,,0,,140,06,037,980003,,,,
Census Tract 9800.04,0,0,,0,,0,,0,,0,,0,,0,,0,,140,06,037,980004,,,,
Census Tract 9800.05,3,0,0.0%,0,0.0%,0,0.0%,1,33.3%,0,0.0%,0,0.0%,1,33.3%,1,33.3%,140,06,037,980005,,,,
Census Tract 9800.06,2,0,0.0%,1,50.0%,0,0.0%,0,0.0%,0,0.0%,1,50.0%,0,0.0%,0,0.0%,140,06,037,980006,,,,
Census Tract 9800.07,5,0,0.0%,1,20.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,1,20.0%,3,60.0%,140,06,037,980007,,,,
Census Tract 9800.08,465,162,34.8%,92,19.8%,0,0.0%,5,1.1%,0,0.0%,5,1.1%,6,1.3%,195,41.9%,140,06,037,980008,,,,
Census Tract 9800.09,52,17,32.7%,7,13.5%,0,0.0%,4,7.7%,0,0.0%,0,0.0%,5,9.6%,19,36.5%,140,06,037,980009,,,,
Census Tract 9800.10,144,41,28.5%,6,4.2%,1,0.7%,51,35.4%,1,0.7%,3,2.1%,8,5.6%,33,22.9%,140,06,037,980010,,,,
Census Tract 9800.11,140,34,24.3%,29,20.7%,2,1.4%,14,10.0%,0,0.0%,1,0.7%,6,4.3%,54,38.6%,140,06,037,980011,,,,
Census Tract 9800.12,0,0,,0,,0,,0,,0,,0,,0,,0,,140,06,037,980012,,,,
Census Tract 9800.13,62,18,29.0%,17,27.4%,0,0.0%,9,14.5%,0,0.0%,0,0.0%,3,4.8%,15,24.2%,140,06,037,980013,,,,
Census Tract 9800.14,150,88,58.7%,5,3.3%,1,0.7%,7,4.7%,0,0.0%,0,0.0%,10,6.7%,39,26.0%,140,06,037,980014,,,,
Census Tract 9800.15,"1,267",221,17.4%,374,29.5%,7,0.6%,169,13.3%,17,1.3%,0,0.0%,76,6.0%,403,31.8%,140,06,037,980015,,,,
Census Tract 9800.16,222,14,6.3%,18,8.1%,0,0.0%,14,6.3%,0,0.0%,7,3.2%,1,0.5%,168,75.7%,140,06,037,980016,,,,
Census Tract 9800.17,"1,192",525,44.0%,305,25.6%,4,0.3%,24,2.0%,3,0.3%,3,0.3%,51,4.3%,277,23.2%,140,06,037,980017,,,,
Census Tract 9800.18,30,5,16.7%,11,36.7%,1,3.3%,0,0.0%,0,0.0%,0,0.0%,2,6.7%,11,36.7%,140,06,037,980018,,,,
Census Tract 9800.19,128,80,62.5%,5,3.9%,0,0.0%,5,3.9%,0,0.0%,0,0.0%,12,9.4%,26,20.3%,140,06,037,980019,,,,
Census Tract 9800.20,2,1,50.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,1,50.0%,0,0.0%,0,0.0%,140,06,037,980020,,,,
Census Tract 9800.21,56,14,25.0%,3,5.4%,0,0.0%,10,17.9%,0,0.0%,0,0.0%,9,16.1%,20,35.7%,140,06,037,980021,,,,
Census Tract 9800.22,0,0,,0,,0,,0,,0,,0,,0,,0,,140,06,037,980022,,,,
Census Tract 9800.23,19,8,42.1%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,4,21.1%,7,36.8%,140,06,037,980023,,,,
Census Tract 9800.24,226,145,64.2%,22,9.7%,0,0.0%,23,10.2%,0,0.0%,2,0.9%,6,2.7%,28,12.4%,140,06,037,980024,,,,
Census Tract 9800.25,518,34,6.6%,239,46.1%,1,0.2%,77,14.9%,5,1.0%,4,0.8%,24,4.6%,134,25.9%,140,06,037,980025,,,,
Census Tract 9800.26,11,8,72.7%,1,9.1%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,1,9.1%,1,9.1%,140,06,037,980026,,,,
Census Tract 9800.28,11,2,18.2%,1,9.1%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,6,54.5%,2,18.2%,140,06,037,980028,,,,
Census Tract 9800.30,0,0,,0,,0,,0,,0,,0,,0,,0,,140,06,037,980030,,,,
Census Tract 9800.31,"1,748",649,37.1%,256,14.6%,32,1.8%,92,5.3%,0,0.0%,0,0.0%,10,0.6%,709,40.6%,140,06,037,980031,,,,
Census Tract 9800.33,89,36,40.4%,21,23.6%,0,0.0%,9,10.1%,0,0.0%,0,0.0%,6,6.7%,17,19.1%,140,06,037,980033,,,,
Census Tract 9800.34,110,28,25.5%,16,14.5%,0,0.0%,7,6.4%,3,2.7%,3,2.7%,6,5.5%,47,42.7%,140,06,037,980034,,,,
Census Tract 9800.35,623,64,10.3%,5,0.8%,0,0.0%,45,7.2%,0,0.0%,4,0.6%,5,0.8%,500,80.3%,140,06,037,980035,,,,
Census Tract 9800.36,616,35,5.7%,12,1.9%,0,0.0%,242,39.3%,0,0.0%,10,1.6%,15,2.4%,302,49.0%,140,06,037,980036,,,,
Census Tract 9800.37,0,0,,0,,0,,0,,0,,0,,0,,0,,140,06,037,980037,,,,
Census Tract 9800.38,4,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,2,50.0%,2,50.0%,140,06,037,980038,,,,
Census Tract 9800.39,0,0,,0,,0,,0,,0,,0,,0,,0,,140,06,037,980039,,,,
Census Tract 9901,0,0,,0,,0,,0,,0,,0,,0,,0,,140,06,037,990100,,,,
Census Tract 9902,0,0,,0,,0,,0,,0,,0,,0,,0,,140,06,037,990200,,,,
Census Tract 9903,0,0,,0,,0,,0,,0,,0,,0,,0,,140,06,037,990300,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Madera County,"156,255","48,399",31.0%,"4,131",2.6%,"1,738",1.1%,"3,581",2.3%,122,0.1%,723,0.5%,"4,383",2.8%,"93,178",59.6%,050,06,039,,,,,
Census Tract 1.02,"4,081","2,891",70.8%,16,0.4%,344,8.4%,37,0.9%,7,0.2%,16,0.4%,295,7.2%,475,11.6%,140,06,039,000102,,,,
Census Tract 1.03,"4,650","3,672",79.0%,10,0.2%,82,1.8%,65,1.4%,0,0.0%,26,0.6%,306,6.6%,489,10.5%,140,06,039,000103,,,,
Census Tract 1.04,"4,335","3,210",74.0%,9,0.2%,83,1.9%,78,1.8%,3,0.1%,22,0.5%,218,5.0%,712,16.4%,140,06,039,000104,,,,
Census Tract 1.06,"5,064","3,717",73.4%,34,0.7%,59,1.2%,110,2.2%,6,0.1%,33,0.7%,340,6.7%,765,15.1%,140,06,039,000106,,,,
Census Tract 1.09,"2,273","1,618",71.2%,26,1.1%,56,2.5%,32,1.4%,1,0.0%,25,1.1%,158,7.0%,357,15.7%,140,06,039,000109,,,,
Census Tract 1.10,"4,527","3,260",72.0%,7,0.2%,233,5.1%,72,1.6%,0,0.0%,40,0.9%,274,6.1%,641,14.2%,140,06,039,000110,,,,
Census Tract 1.11,"2,231","1,712",76.7%,26,1.2%,72,3.2%,50,2.2%,0,0.0%,8,0.4%,102,4.6%,261,11.7%,140,06,039,000111,,,,
Census Tract 2.01,"7,359","2,142",29.1%,"1,508",20.5%,123,1.7%,92,1.3%,16,0.2%,47,0.6%,162,2.2%,"3,269",44.4%,140,06,039,000201,,,,
Census Tract 2.03,"1,552",527,34.0%,4,0.3%,4,0.3%,20,1.3%,1,0.1%,4,0.3%,58,3.7%,934,60.2%,140,06,039,000203,,,,
Census Tract 2.04,"5,549","2,281",41.1%,199,3.6%,31,0.6%,350,6.3%,17,0.3%,30,0.5%,219,3.9%,"2,422",43.6%,140,06,039,000204,,,,
Census Tract 3.01,"3,534","1,109",31.4%,48,1.4%,24,0.7%,14,0.4%,8,0.2%,10,0.3%,116,3.3%,"2,205",62.4%,140,06,039,000301,,,,
Census Tract 3.02,"5,383","2,096",38.9%,162,3.0%,23,0.4%,73,1.4%,0,0.0%,13,0.2%,209,3.9%,"2,807",52.1%,140,06,039,000302,,,,
Census Tract 5.06,"6,357","1,208",19.0%,102,1.6%,39,0.6%,89,1.4%,0,0.0%,24,0.4%,111,1.7%,"4,784",75.3%,140,06,039,000506,,,,
Census Tract 5.09,"6,290","3,581",56.9%,67,1.1%,44,0.7%,197,3.1%,5,0.1%,26,0.4%,311,4.9%,"2,059",32.7%,140,06,039,000509,,,,
Census Tract 5.10,"5,376",545,10.1%,175,3.3%,26,0.5%,141,2.6%,3,0.1%,39,0.7%,90,1.7%,"4,357",81.0%,140,06,039,000510,,,,
Census Tract 5.11,"6,083",509,8.4%,157,2.6%,57,0.9%,96,1.6%,4,0.1%,46,0.8%,92,1.5%,"5,122",84.2%,140,06,039,000511,,,,
Census Tract 5.12,"5,349","1,291",24.1%,123,2.3%,20,0.4%,165,3.1%,2,0.0%,36,0.7%,103,1.9%,"3,609",67.5%,140,06,039,000512,,,,
Census Tract 5.13,"4,543",826,18.2%,130,2.9%,21,0.5%,423,9.3%,3,0.1%,30,0.7%,86,1.9%,"3,024",66.6%,140,06,039,000513,,,,
Census Tract 5.14,"6,847","1,024",15.0%,158,2.3%,30,0.4%,104,1.5%,0,0.0%,25,0.4%,110,1.6%,"5,396",78.8%,140,06,039,000514,,,,
Census Tract 5.15,"3,932",807,20.5%,84,2.1%,35,0.9%,38,1.0%,0,0.0%,12,0.3%,66,1.7%,"2,890",73.5%,140,06,039,000515,,,,
Census Tract 5.16,"2,426","1,380",56.9%,20,0.8%,19,0.8%,75,3.1%,3,0.1%,9,0.4%,93,3.8%,827,34.1%,140,06,039,000516,,,,
Census Tract 5.17,"2,019",540,26.7%,33,1.6%,29,1.4%,65,3.2%,1,0.0%,19,0.9%,36,1.8%,"1,296",64.2%,140,06,039,000517,,,,
Census Tract 5.18,"3,234",197,6.1%,47,1.5%,29,0.9%,11,0.3%,3,0.1%,7,0.2%,28,0.9%,"2,912",90.0%,140,06,039,000518,,,,
Census Tract 6.02,"4,736",342,7.2%,45,1.0%,23,0.5%,11,0.2%,0,0.0%,11,0.2%,34,0.7%,"4,270",90.2%,140,06,039,000602,,,,
Census Tract 6.03,"5,716",282,4.9%,107,1.9%,38,0.7%,29,0.5%,4,0.1%,10,0.2%,36,0.6%,"5,210",91.1%,140,06,039,000603,,,,
Census Tract 6.04,"5,252",256,4.9%,92,1.8%,12,0.2%,19,0.4%,2,0.0%,1,0.0%,44,0.8%,"4,826",91.9%,140,06,039,000604,,,,
Census Tract 7.01,"5,379","1,462",27.2%,138,2.6%,16,0.3%,210,3.9%,3,0.1%,49,0.9%,157,2.9%,"3,344",62.2%,140,06,039,000701,,,,
Census Tract 7.02,"6,194","1,931",31.2%,89,1.4%,50,0.8%,180,2.9%,7,0.1%,21,0.3%,138,2.2%,"3,778",61.0%,140,06,039,000702,,,,
Census Tract 8.01,"2,491",291,11.7%,50,2.0%,17,0.7%,37,1.5%,2,0.1%,7,0.3%,16,0.6%,"2,071",83.1%,140,06,039,000801,,,,
Census Tract 8.02,"4,065",362,8.9%,101,2.5%,37,0.9%,25,0.6%,3,0.1%,6,0.1%,37,0.9%,"3,494",86.0%,140,06,039,000802,,,,
Census Tract 9.01,"3,065",121,3.9%,68,2.2%,11,0.4%,5,0.2%,0,0.0%,9,0.3%,25,0.8%,"2,826",92.2%,140,06,039,000901,,,,
Census Tract 9.02,"4,541",229,5.0%,111,2.4%,5,0.1%,337,7.4%,5,0.1%,9,0.2%,47,1.0%,"3,798",83.6%,140,06,039,000902,,,,
Census Tract 9.03,"3,943",92,2.3%,91,2.3%,18,0.5%,13,0.3%,2,0.1%,14,0.4%,18,0.5%,"3,695",93.7%,140,06,039,000903,,,,
Census Tract 11,"7,879","2,888",36.7%,94,1.2%,28,0.4%,318,4.0%,11,0.1%,39,0.5%,248,3.1%,"4,253",54.0%,140,06,039,001100,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Marin County,"262,321","173,149",66.0%,"6,120",2.3%,555,0.2%,"16,175",6.2%,457,0.2%,"2,040",0.8%,"14,415",5.5%,"49,410",18.8%,050,06,041,,,,,
Census Tract 1011,"2,682","2,058",76.7%,34,1.3%,6,0.2%,168,6.3%,4,0.1%,9,0.3%,151,5.6%,252,9.4%,140,06,041,101100,,,,
Census Tract 1012,"2,924","1,815",62.1%,42,1.4%,4,0.1%,183,6.3%,9,0.3%,20,0.7%,145,5.0%,706,24.1%,140,06,041,101200,,,,
Census Tract 1021,"2,251","1,667",74.1%,39,1.7%,6,0.3%,162,7.2%,2,0.1%,12,0.5%,133,5.9%,230,10.2%,140,06,041,102100,,,,
Census Tract 1022.02,"6,003","3,697",61.6%,140,2.3%,14,0.2%,412,6.9%,3,0.0%,25,0.4%,378,6.3%,"1,334",22.2%,140,06,041,102202,,,,
Census Tract 1022.03,"5,174","2,447",47.3%,133,2.6%,12,0.2%,315,6.1%,12,0.2%,52,1.0%,266,5.1%,"1,937",37.4%,140,06,041,102203,,,,
Census Tract 1031,"7,376","5,504",74.6%,74,1.0%,11,0.1%,354,4.8%,7,0.1%,48,0.7%,343,4.7%,"1,035",14.0%,140,06,041,103100,,,,
Census Tract 1032,"6,720","3,812",56.7%,202,3.0%,8,0.1%,429,6.4%,10,0.1%,40,0.6%,385,5.7%,"1,834",27.3%,140,06,041,103200,,,,
Census Tract 1041.02,"5,321","2,147",40.3%,159,3.0%,9,0.2%,618,11.6%,22,0.4%,64,1.2%,311,5.8%,"1,991",37.4%,140,06,041,104102,,,,
Census Tract 1041.03,"3,137","2,102",67.0%,57,1.8%,6,0.2%,195,6.2%,4,0.1%,21,0.7%,175,5.6%,577,18.4%,140,06,041,104103,,,,
Census Tract 1041.04,"4,617","2,803",60.7%,95,2.1%,13,0.3%,365,7.9%,29,0.6%,46,1.0%,196,4.2%,"1,070",23.2%,140,06,041,104104,,,,
Census Tract 1042,"5,733","3,608",62.9%,134,2.3%,12,0.2%,301,5.3%,3,0.1%,30,0.5%,286,5.0%,"1,359",23.7%,140,06,041,104200,,,,
Census Tract 1043,"1,564","1,248",79.8%,2,0.1%,4,0.3%,97,6.2%,0,0.0%,10,0.6%,90,5.8%,113,7.2%,140,06,041,104300,,,,
Census Tract 1050.01,"3,650","1,221",33.5%,238,6.5%,3,0.1%,246,6.7%,3,0.1%,40,1.1%,176,4.8%,"1,723",47.2%,140,06,041,105001,,,,
Census Tract 1050.02,"3,162","2,079",65.7%,62,2.0%,1,0.0%,404,12.8%,2,0.1%,23,0.7%,199,6.3%,392,12.4%,140,06,041,105002,,,,
Census Tract 1060.01,"5,004","2,559",51.1%,166,3.3%,11,0.2%,478,9.6%,15,0.3%,43,0.9%,308,6.2%,"1,424",28.5%,140,06,041,106001,,,,
Census Tract 1060.02,"5,666","3,390",59.8%,127,2.2%,10,0.2%,435,7.7%,7,0.1%,47,0.8%,250,4.4%,"1,400",24.7%,140,06,041,106002,,,,
Census Tract 1070,"6,306","4,678",74.2%,67,1.1%,7,0.1%,481,7.6%,15,0.2%,38,0.6%,423,6.7%,597,9.5%,140,06,041,107000,,,,
Census Tract 1081,"6,692","4,992",74.6%,57,0.9%,10,0.1%,473,7.1%,6,0.1%,40,0.6%,472,7.1%,642,9.6%,140,06,041,108100,,,,
Census Tract 1082.01,"2,556","1,366",53.4%,66,2.6%,7,0.3%,194,7.6%,2,0.1%,24,0.9%,132,5.2%,765,29.9%,140,06,041,108201,,,,
Census Tract 1082.02,"4,343","2,641",60.8%,75,1.7%,4,0.1%,538,12.4%,30,0.7%,52,1.2%,244,5.6%,759,17.5%,140,06,041,108202,,,,
Census Tract 1090.01,"4,467","2,199",49.2%,68,1.5%,12,0.3%,266,6.0%,29,0.6%,37,0.8%,208,4.7%,"1,648",36.9%,140,06,041,109001,,,,
Census Tract 1090.02,"4,178","3,141",75.2%,46,1.1%,7,0.2%,199,4.8%,8,0.2%,18,0.4%,283,6.8%,476,11.4%,140,06,041,109002,,,,
Census Tract 1101,"6,176","3,909",63.3%,113,1.8%,7,0.1%,463,7.5%,10,0.2%,80,1.3%,309,5.0%,"1,285",20.8%,140,06,041,110100,,,,
Census Tract 1102,"5,389","4,465",82.9%,33,0.6%,3,0.1%,278,5.2%,10,0.2%,44,0.8%,245,4.5%,311,5.8%,140,06,041,110200,,,,
Census Tract 1110.01,"1,209",604,50.0%,61,5.0%,11,0.9%,134,11.1%,4,0.3%,22,1.8%,72,6.0%,301,24.9%,140,06,041,111001,,,,
Census Tract 1110.02,"4,967","2,788",56.1%,85,1.7%,6,0.1%,213,4.3%,21,0.4%,67,1.3%,290,5.8%,"1,497",30.1%,140,06,041,111002,,,,
